 lambda      Rs      Ts      As      Rp      Tp      Ap
826.1159  1.6644 91.0277  7.3079  1.6644 91.0277  7.3079
825.5659  1.7868 90.8930  7.3201  1.7868 90.8930  7.3201
825.0166  1.9162 90.7520  7.3318  1.9162 90.7520  7.3318
824.4681  2.0525 90.6045  7.3430  2.0525 90.6045  7.3430
823.9203  2.1956 90.4507  7.3537  2.1956 90.4507  7.3537
823.3732  2.3455 90.2907  7.3638  2.3455 90.2907  7.3638
822.8268  2.5022 90.1244  7.3734  2.5022 90.1244  7.3734
822.2812  2.6655 89.9520  7.3826  2.6655 89.9520  7.3826
821.7362  2.8353 89.7735  7.3912  2.8353 89.7735  7.3912
821.1921  3.0116 89.5891  7.3993  3.0116 89.5891  7.3993
820.6486  3.1944 89.3987  7.4069  3.1944 89.3987  7.4069
820.1058  3.3835 89.2025  7.4140  3.3835 89.2025  7.4140
819.5638  3.5788 89.0006  7.4206  3.5788 89.0006  7.4206
819.0225  3.7802 88.7930  7.4268  3.7802 88.7930  7.4268
818.4818  3.9877 88.5799  7.4324  3.9877 88.5799  7.4324
817.9420  4.2012 88.3613  7.4375  4.2012 88.3613  7.4375
817.4028  4.4205 88.1373  7.4422  4.4205 88.1373  7.4422
816.8643  4.6455 87.9081  7.4464  4.6455 87.9081  7.4464
816.3265  4.8762 87.6737  7.4501  4.8762 87.6737  7.4501
815.7895  5.1124 87.4342  7.4534  5.1124 87.4342  7.4534
815.2531  5.3540 87.1898  7.4562  5.3540 87.1898  7.4562
814.7175  5.6009 86.9405  7.4586  5.6009 86.9405  7.4586
814.1825  5.8530 86.6865  7.4605  5.8530 86.6865  7.4605
813.6483  6.1102 86.4278  7.4620  6.1102 86.4278  7.4620
813.1148  6.3723 86.1647  7.4630  6.3723 86.1647  7.4630
812.5819  6.6393 85.8971  7.4636  6.6393 85.8971  7.4636
812.0498  6.9110 85.6252  7.4638  6.9110 85.6252  7.4638
811.5183  7.1872 85.3492  7.4636  7.1872 85.3492  7.4636
810.9876  7.4679 85.0690  7.4630  7.4679 85.0690  7.4630
810.4575  7.7530 84.7850  7.4620  7.7530 84.7850  7.4620
809.9282  8.0422 84.4971  7.4607  8.0422 84.4971  7.4607
809.3995  8.3355 84.2056  7.4589  8.3355 84.2056  7.4589
808.8715  8.6328 83.9105  7.4568  8.6328 83.9105  7.4568
808.3442  8.9338 83.6119  7.4543  8.9338 83.6119  7.4543
807.8176  9.2386 83.3099  7.4515  9.2386 83.3099  7.4515
807.2917  9.5469 83.0048  7.4483  9.5469 83.0048  7.4483
806.7664  9.8586 82.6966  7.4448  9.8586 82.6966  7.4448
806.2419 10.1736 82.3854  7.4410 10.1736 82.3854  7.4410
805.7180 10.4918 82.0714  7.4369 10.4918 82.0714  7.4369
805.1948 10.8130 81.7546  7.4324 10.8130 81.7546  7.4324
804.6723 11.1370 81.4353  7.4277 11.1370 81.4353  7.4277
804.1505 11.4639 81.1134  7.4227 11.4639 81.1134  7.4227
803.6293 11.7934 80.7892  7.4174 11.7934 80.7892  7.4174
803.1088 12.1253 80.4628  7.4119 12.1253 80.4628  7.4119
802.5890 12.4597 80.1343  7.4061 12.4597 80.1343  7.4061
802.0699 12.7962 79.8037  7.4000 12.7962 79.8037  7.4000
801.5514 13.1349 79.4713  7.3937 13.1349 79.4713  7.3937
801.0336 13.4756 79.1372  7.3872 13.4756 79.1372  7.3872
800.5165 13.8181 78.8014  7.3805 13.8181 78.8014  7.3805
800.0000 14.1623 78.4640  7.3736 14.1623 78.4640  7.3736
799.4842 14.5082 78.1253  7.3665 14.5082 78.1253  7.3665
798.9691 14.8555 77.7852  7.3593 14.8555 77.7852  7.3593
798.4546 15.2042 77.4440  7.3518 15.2042 77.4440  7.3518
797.9408 15.5541 77.1017  7.3442 15.5541 77.1017  7.3442
797.4277 15.9051 76.7584  7.3364 15.9051 76.7584  7.3364
796.9152 16.2572 76.4143  7.3285 16.2572 76.4143  7.3285
796.4033 16.6101 76.0694  7.3205 16.6101 76.0694  7.3205
795.8922 16.9637 75.7239  7.3124 16.9637 75.7239  7.3124
795.3817 17.3180 75.3778  7.3041 17.3180 75.3778  7.3041
794.8718 17.6729 75.0313  7.2958 17.6729 75.0313  7.2958
794.3626 18.0281 74.6845  7.2873 18.0281 74.6845  7.2873
793.8540 18.3837 74.3375  7.2788 18.3837 74.3375  7.2788
793.3461 18.7395 73.9903  7.2703 18.7395 73.9903  7.2703
792.8389 19.0954 73.6430  7.2616 19.0954 73.6430  7.2616
792.3323 19.4513 73.2958  7.2529 19.4513 73.2958  7.2529
791.8263 19.8070 72.9488  7.2442 19.8070 72.9488  7.2442
791.3210 20.1626 72.6019  7.2355 20.1626 72.6019  7.2355
790.8163 20.5178 72.2554  7.2267 20.5178 72.2554  7.2267
790.3123 20.8727 71.9094  7.2179 20.8727 71.9094  7.2179
789.8089 21.2270 71.5638  7.2092 21.2270 71.5638  7.2092
789.3062 21.5808 71.2188  7.2004 21.5808 71.2188  7.2004
788.8041 21.9339 70.8744  7.1917 21.9339 70.8744  7.1917
788.3026 22.2862 70.5308  7.1830 22.2862 70.5308  7.1830
787.8018 22.6376 70.1880  7.1744 22.6376 70.1880  7.1744
787.3016 22.9881 69.8461  7.1658 22.9881 69.8461  7.1658
786.8020 23.3376 69.5052  7.1572 23.3376 69.5052  7.1572
