 lambda      Rs      Ts      As      Rp      Tp      Ap
812.5819  9.2222 83.2026  7.5752  9.2222 83.2026  7.5752
812.0498  9.5845 82.8495  7.5660  9.5845 82.8495  7.5660
811.5183  9.9513 82.4923  7.5563  9.9513 82.4923  7.5563
810.9876 10.3225 82.1314  7.5461 10.3225 82.1314  7.5461
810.4575 10.6978 81.7668  7.5354 10.6978 81.7668  7.5354
809.9282 11.0770 81.3988  7.5242 11.0770 81.3988  7.5242
809.3995 11.4601 81.0274  7.5125 11.4601 81.0274  7.5125
808.8715 11.8467 80.6529  7.5004 11.8467 80.6529  7.5004
808.3442 12.2368 80.2754  7.4879 12.2368 80.2754  7.4879
807.8176 12.6301 79.8950  7.4749 12.6301 79.8950  7.4749
807.2917 13.0265 79.5120  7.4614 13.0265 79.5120  7.4614
806.7664 13.4258 79.1266  7.4476 13.4258 79.1266  7.4476
806.2419 13.8278 78.7387  7.4334 13.8278 78.7387  7.4334
805.7180 14.2324 78.3487  7.4188 14.2324 78.3487  7.4188
805.1948 14.6394 77.9567  7.4039 14.6394 77.9567  7.4039
804.6723 15.0486 77.5628  7.3886 15.0486 77.5628  7.3886
804.1505 15.4598 77.1672  7.3730 15.4598 77.1672  7.3730
803.6293 15.8729 76.7701  7.3570 15.8729 76.7701  7.3570
803.1088 16.2877 76.3715  7.3408 16.2877 76.3715  7.3408
802.5890 16.7041 75.9717  7.3242 16.7041 75.9717  7.3242
802.0699 17.1219 75.5707  7.3074 17.1219 75.5707  7.3074
801.5514 17.5409 75.1688  7.2903 17.5409 75.1688  7.2903
801.0336 17.9610 74.7661  7.2729 17.9610 74.7661  7.2729
800.5165 18.3820 74.3627  7.2553 18.3820 74.3627  7.2553
800.0000 18.8038 73.9587  7.2375 18.8038 73.9587  7.2375
799.4842 19.2263 73.5543  7.2195 19.2263 73.5543  7.2195
798.9691 19.6492 73.1496  7.2012 19.6492 73.1496  7.2012
798.4546 20.0725 72.7447  7.1828 20.0725 72.7447  7.1828
797.9408 20.4959 72.3399  7.1642 20.4959 72.3399  7.1642
797.4277 20.9195 71.9351  7.1454 20.9195 71.9351  7.1454
796.9152 21.3429 71.5305  7.1265 21.3429 71.5305  7.1265
796.4033 21.7662 71.1263  7.1075 21.7662 71.1263  7.1075
795.8922 22.1891 70.7226  7.0883 22.1891 70.7226  7.0883
795.3817 22.6116 70.3194  7.0690 22.6116 70.3194  7.0690
794.8718 23.0335 69.9168  7.0496 23.0335 69.9168  7.0496
794.3626 23.4547 69.5151  7.0302 23.4547 69.5151  7.0302
793.8540 23.8751 69.1143  7.0106 23.8751 69.1143  7.0106
793.3461 24.2946 68.7144  6.9910 24.2946 68.7144  6.9910
792.8389 24.7130 68.3156  6.9713 24.7130 68.3156  6.9713
792.3323 25.1303 67.9181  6.9516 25.1303 67.9181  6.9516
791.8263 25.5463 67.5218  6.9319 25.5463 67.5218  6.9319
