% Model:              sheets _with_NP_V2.mph
% Version:            COMSOL 5.3.0.316
% Date:               Apr 14 2021, 14:09
% Table:              h0=1nm - Global Evaluation 6 (Rs, Ts)
% lambda0 (nm)                                    Rs (1)                                            Ts (1)
564                                               9.053985898367605                                 1.0040143720809865E-4
567                                               9.494142486738047                                 9.396730270464412E-5
570                                               10.033345952533749                                8.761318335268258E-5
573                                               11.119761993302903                                8.173617032195316E-5
576                                               12.577537684130247                                7.793848552006848E-5
578.9999999999999                                 14.04640806365821                                 7.597114066127917E-5
581.9999999999999                                 15.412730067542366                                7.499791467650213E-5
584.9999999999999                                 16.63578794205221                                 7.443958426469078E-5
588                                               17.64302582503465                                 7.381972892301347E-5
591                                               18.399555873044648                                7.258561732647651E-5
594                                               19.254870202608103                                7.055760058025788E-5
597                                               20.82978299081804                                 6.87846685958639E-5
600                                               22.952464183935067                                6.797985781072624E-5
602.9999999999999                                 25.1075826637179                                  6.761676723309708E-5
605.9999999999999                                 27.091473252342386                                6.717772170747785E-5
608.9999999999999                                 28.84044917457335                                 6.642896499422439E-5
612                                               30.282991140794955                                6.523361561913926E-5
615                                               31.406577280504145                                6.351098247962277E-5
618                                               32.57944973233595                                 6.148642890083375E-5
621                                               34.44000184638183                                 5.975286373405422E-5
624                                               36.885014348097286                                5.842665907335068E-5
626.9999999999999                                 39.36135164896509                                 5.7135775239411234E-5
629.9999999999999                                 41.59793278261537                                 5.5654801417333415E-5
632.9999999999999                                 43.51686838303583                                 5.393017634111241E-5
636                                               45.07577253368778                                 5.195944473836242E-5
639                                               46.31822031899188                                 4.978718771139046E-5
642                                               47.59801038962035                                 4.7601470846321154E-5
645                                               49.40914031667705                                 4.565679988136437E-5
648                                               51.65109483755851                                 4.393251596367841E-5
650.9999999999999                                 53.86973020886812                                 4.224035793196551E-5
653.9999999999999                                 55.82543300618812                                 4.049057178254995E-5
656.9999999999999                                 57.45577334904933                                 3.867876226947001E-5
660                                               58.7596325579899                                  3.683053092935921E-5
663                                               59.841844751207574                                3.500191886161789E-5
666                                               61.01459567764306                                 3.3285948374594585E-5
669                                               62.54805026612402                                 3.172877103729982E-5
672                                               64.28680447887045                                 3.0266542694895266E-5
674.9999999999999                                 65.93116136406191                                 2.8830294699367506E-5
677.9999999999999                                 67.33930226681453                                 2.740336507901383E-5
680.9999999999999                                 68.48637716178197                                 2.5994817622562132E-5
684                                               69.41506187687997                                 2.462345307302154E-5
687                                               70.2732591261294                                  2.3320258003478737E-5
690                                               71.27621984867197                                 2.2115005886733982E-5
693                                               72.46438086805193                                 2.100052653483825E-5
696                                               73.66664266647848                                 1.994373061077642E-5
698.9999999999999                                 74.73517470125324                                 1.8925155496927006E-5
701.9999999999999                                 75.62348775253629                                 1.7943175093928513E-5
704.9999999999999                                 76.35391961387373                                 1.700468640874341E-5
708                                               77.01440417317559                                 1.61206991671334E-5
711                                               77.73208535007633                                 1.529841840171927E-5
714                                               78.54823720677845                                 1.4530313826075939E-5
717                                               79.3759988722949                                  1.3801151365434827E-5
720                                               80.12173131857811                                 1.3102699926096903E-5
722.9999999999999                                 80.75336943901962                                 1.2434522933938339E-5
725.9999999999999                                 81.29380000090246                                 1.179969874555235E-5
728.9999999999999                                 81.80808168218243                                 1.1202272474233735E-5
732                                               82.35969215125478                                 1.064344361287899E-5
735                                               82.94403882093067                                 1.0118844075051386E-5
738                                               83.50498380574071                                 9.622581489019334E-6
741                                               84.00291089824627                                 9.151730899406652E-6
744                                               84.43900066858865                                 8.706175563121262E-6
746.9999999999999                                 84.84655548960687                                 8.286575360015668E-6
749.9999999999999                                 85.26225189626525                                 7.892080893593085E-6
752.9999999999999                                 85.68846613175499                                 7.519651061171911E-6
756                                               86.0978096901397                                  7.166236786894305E-6
759                                               86.47057283266253                                 6.8304966312545675E-6
762                                               86.8118000240886                                  6.512354514322452E-6
765                                               87.14142170234197                                 6.211846903243399E-6
768                                               87.47083346874665                                 5.928225873231522E-6
770.9999999999999                                 87.79229145648254                                 5.660102305728137E-6
773.9999999999999                                 88.09471927726969                                 5.406305157556939E-6
776.9999999999999                                 88.37875483779216                                 5.166123534070965E-6
780                                               88.65289188028225                                 4.938855808948918E-6
783                                               88.91563659729317                                 4.723613644345134E-6
786                                               89.17784434068126                                 4.5190681282077535E-6
789                                               89.42452954438994                                 4.3250999320883E-6
791.9999999999999                                 89.6616826997254                                  4.141068703521958E-6
794.9999999999999                                 89.89123896121653                                 3.966506546004164E-6
797.9999999999999                                 90.11285651819955                                 3.800867217917028E-6
