 lambda      Rs      Ts      As      Rp      Tp      Ap
811.5183 36.9605 54.9025  8.1369 36.9605 54.9025  8.1369
810.9876 37.6792 54.2978  8.0230 37.6792 54.2978  8.0230
810.4575 38.3883 53.7004  7.9114 38.3883 53.7004  7.9114
809.9282 39.0877 53.1103  7.8020 39.0877 53.1103  7.8020
809.3995 39.7773 52.5277  7.6949 39.7773 52.5277  7.6949
808.8715 40.4571 51.9528  7.5901 40.4571 51.9528  7.5901
808.3442 41.1271 51.3855  7.4875 41.1271 51.3855  7.4875
807.8176 41.7871 50.8259  7.3870 41.7871 50.8259  7.3870
807.2917 42.4372 50.2741  7.2887 42.4372 50.2741  7.2887
806.7664 43.0774 49.7300  7.1926 43.0774 49.7300  7.1926
806.2419 43.7076 49.1938  7.0986 43.7076 49.1938  7.0986
805.7180 44.3279 48.6654  7.0066 44.3279 48.6654  7.0066
805.1948 44.9384 48.1449  6.9167 44.9384 48.1449  6.9167
804.6723 45.5391 47.6321  6.8288 45.5391 47.6321  6.8288
804.1505 46.1299 47.1271  6.7429 46.1299 47.1271  6.7429
803.6293 46.7111 46.6299  6.6590 46.7111 46.6299  6.6590
803.1088 47.2826 46.1404  6.5770 47.2826 46.1404  6.5770
802.5890 47.8445 45.6586  6.4968 47.8445 45.6586  6.4968
802.0699 48.3970 45.1845  6.4186 48.3970 45.1845  6.4186
801.5514 48.9400 44.7179  6.3421 48.9400 44.7179  6.3421
801.0336 49.4738 44.2588  6.2674 49.4738 44.2588  6.2674
800.5165 49.9983 43.8072  6.1945 49.9983 43.8072  6.1945
800.0000 50.5137 43.3629  6.1234 50.5137 43.3629  6.1234
799.4842 51.0201 42.9260  6.0539 51.0201 42.9260  6.0539
798.9691 51.5176 42.4963  5.9861 51.5176 42.4963  5.9861
798.4546 52.0063 42.0738  5.9199 52.0063 42.0738  5.9199
797.9408 52.4863 41.6584  5.8553 52.4863 41.6584  5.8553
797.4277 52.9578 41.2500  5.7923 52.9578 41.2500  5.7923
796.9152 53.4208 40.8484  5.7308 53.4208 40.8484  5.7308
796.4033 53.8755 40.4537  5.6708 53.8755 40.4537  5.6708
795.8922 54.3219 40.0658  5.6123 54.3219 40.0658  5.6123
795.3817 54.7603 39.6845  5.5552 54.7603 39.6845  5.5552
794.8718 55.1907 39.3098  5.4995 55.1907 39.3098  5.4995
794.3626 55.6132 38.9415  5.4453 55.6132 38.9415  5.4453
793.8540 56.0280 38.5796  5.3924 56.0280 38.5796  5.3924
793.3461 56.4352 38.2240  5.3408 56.4352 38.2240  5.3408
