% Model:              sheets _with_NP_V3.mph
% Version:            COMSOL 5.3.0.316
% Date:               Apr 14 2021, 14:10
% Table:              h0=1nm - Global Evaluation 7 (Rs, Ts)
% lambda0 (nm)                                    Rs (1)                                            Ts (1)
474                                               1.6991600491724297                                0.048454231897253563
477                                               1.008885013790339                                 0.03574540492794466
480                                               0.5021749204864508                                0.02665617690484003
483                                               0.1708546387247929                                0.020062354384031558
485.99999999999994                                0.01390382373170215                               0.015209906145284047
488.99999999999994                                0.0389413599547289                                0.011583738383214918
491.99999999999994                                0.24129181816606554                               0.008867938841041052
494.99999999999994                                0.6058130122290292                                0.006827779625988316
498                                               1.1215511116145878                                0.0052836710534561
501                                               1.7834647537959762                                0.004106339418021327
504                                               2.602771939756095                                 0.003198012817214246
507                                               3.560898366705413                                 0.0024929834245187776
509.99999999999994                                4.615244659418195                                 0.0019484528789563708
512.9999999999999                                 5.747531824205837                                 0.0015273908535456257
516                                               6.944031315700248                                 0.0012007719678690683
519                                               8.210755181170518                                 9.460694355369736E-4
522                                               9.583579518185967                                 7.452025412385474E-4
525                                               11.028046424140824                                5.867616667610434E-4
528                                               12.487452709051832                                4.6272449115716954E-4
531                                               13.938389396513932                                3.6577864941071214E-4
533.9999999999999                                 15.364078525298877                                2.89996958009516E-4
536.9999999999999                                 16.790424594821367                                2.304224976847827E-4
540                                               18.308086790480015                                1.8287690296415774E-4
543                                               19.88783984532729                                 1.450756042345578E-4
546                                               21.435178882463703                                1.1546093731786946E-4
549                                               22.902828858068204                                9.24052339563502E-5
552                                               24.26791612695319                                 7.448957735609404E-5
555                                               25.604579486693734                                6.043555999389582E-5
557.9999999999999                                 27.076033751993783                                4.9216116299013474E-5
560.9999999999999                                 28.609719643932635                                4.040538814835001E-5
564                                               30.04925650217409                                 3.3675269096577966E-5
567                                               31.33414630849171                                 2.8606087969553964E-5
570                                               32.47094998436354                                 2.4778267697994647E-5
573                                               33.609659157702765                                2.176005069325174E-5
576                                               34.916437771715835                                1.933199903219142E-5
578.9999999999999                                 36.24725610577031                                 1.7544009715341362E-5
581.9999999999999                                 37.433280341923705                                1.6331777296533555E-5
